Con,Contp,PP,PPName,Reg,AgtId,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Afghanistan,Government,2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",553,"Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan",1999-07-19,"Multiparty signed/agreed",5,8371,InterIntra,Pre,Proc,"Not signed, agreement mentions the following parties as having produced it: The Deputy Ministers for Foreign Affairs of the «Six plus Two» group, composed of the States bordering on Afghanistan - the People's Republic of China, the Islamic Republic of Iran, the Islamic Republic of Pakistan, the Republic of Tajikistan, Turkmenistan and  the  Republic  of  Uzbekistan  - as well as the Russian Federation and the United States of America. 

These are believed to have been; Ji Peiding, China; Javad Zarif, Iran; Iftihar Murshid, Pakistan; Gulomzhon Mirzoyev, Tajikistan; Rashid Meredov, Turkmenistan; Abdusamat Khaydarov, Uzbekistan; Karl Inderfurth, U.S.A; and Vasily Sredin, Russian Federation. ","The agreement refers to the participation of the Special Envoy of the United Nations Secretary-General for Afghanistan, Mr. Lakhdar Brahimi. ",,AFG,,700,,333,,,851,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",305,"Angolan Government's Peace Plan",2002-03-13,"Multiparty signed/agreed",3,7584,Intra,Imp,ImpOth,"Note: The agreement does not have any signatories, however the preamble states that the peace plan is the product of the Government of Unity and National Reconciliation of the Republic of Angola.",,"[Summary: agreement in its entirety emphasises the need to respect the Bicesse Accords, Lusaka Protocol and United Nations Security Council resolutions on Angola]

Page 1,
... In order to achieve peace, the government has set out an agenda that necessarily involves the solution of all military issues resulting from the armed conflict that started after the formation of the Angolan Armed Forces, in accordance with the Bicesse Accords and the Lusaka Protocol.",AGO,,540,,327,,,907,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Angola/Cabinda ",Government/territory,178,"Cabinda process","Africa (excl MENA)",1336,"Memorandum of Peace and Understanding in Cabinda Province",2006-08-01,"Multiparty signed/agreed",75,194252,Intra,SubComp,FrAg,"Note: The agreement does not have any signatories, however the preamble states that the peace plan is the product of the Government of the Republic of Angola and the
Cabinda Forum for Dialogue","Witnessed by representatives of the Episcopal Conference of Angola and Sao Tome,
representatives of the Council of Christian Churches of Angola and representatives of the Inter-Ecclesiastical Council for Peace in Angol.",,AGO,,540,,387,1353,,907,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,3,3,2,1,1,1,0,1,1,1,3,0,1,1,0,0,0,0,0,1,3,0,1,1,0,3,1,1,0,3,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,3,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,2,1,0,2,2,3,0,1,0,1,0,0,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1686,"Joint Statement by the Heads of Delegation of the OSCE Minsk Group Co-Chair Countries and the Presidents of Azerbaijan and Armenia",2010-12-01,"Multiparty signed/agreed",1,2049,InterIntra,Ren,Repre,"The President of Azerbaijan Ilham Aliyev

The President of Armenia Serge Sargsian","The Heads of Delegation of the OSCE Minsk Group Co-Chair countries (the President of the Russian Federation Dmitri Medvedev, the Prime Minister of France Francois Fillon, and the Secretary of State of the United States Hillary Rodham Clinton).","Page 1: ...On the occasion of the OSCE Summit in Astana, Kazakhstan, the Heads of Delegation of the OSCE Minsk Group Co-Chair countries (the President of the Russian Federation Dmitri Medvedev, the Prime Minister of France Francois Fillon, and the Secretary of State of the United States Hillary Rodham Clinton), the President of Azerbaijan Ilham Aliyev, and the President of Armenia Serge Sargsian agreed that the time has come for more decisive efforts to resolve the Nagorno-Karabakh conflict. In this context, they recalled the joint statements of the Presidents of Azerbaijan and Armenia, with the President of the Russian Federation, on November 2, 2008, in Moscow, and on October 27, 2010, in Astrakhan. They further agreed that a peaceful, negotiated settlement will bring stability and security and is the only way to bring real reconciliation to the peoples of the region.

Page 1:...The Presidents of Armenia and Azerbaijan reaffirmed their commitment to seek a final settlement of the Nagorno-Karabakh conflict, based upon: the principles and norms of international law; the United Nations Charter; the Helsinki Final Act; as well as the statements of Presidents Medvedev, Sarkozy, and Obama, at L'Aquila on July 10, 2009, and at Muskoka on June 26, 2010.",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1684,"Agreement on strengthening the ceasefire",1995-02-04,"Multiparty signed/agreed",2,5177,InterIntra,Cea,Rel,"M. MAMEDOV
Minister of Defence of Azerbaijan

Serge Sargsyan
Minister of Defence of Armenia 

Samvel Babayan
Commander of the Army of Nagorno Karabakh ","Vladimir Kazimirov
on behalf of the Co-chairmen of the OSCE Minsk Conference
",,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1733,"Agreement on Confirmation of Commitment to Ceasefire",1994-07-27,"Multiparty signed/agreed",1,1841,Intra,Cea,Rel,"Mammadrafi Mammadov, Minister of Defence of Azerbaijan

Serzh Sargsyan, Minister of Defence of Armenia

Samvel Babayan, Commander of the Army of the Republic of Nagorno-Karabakh
 
","To Minister of defence of Russian Federation, P.S. Grachov

To The Chariman of the OSCE Minsk conference on Nagorno-Karabakh, Y. Eliyason

To The Minister of Foreign Affairs of the Russian Federation, A.V. Kozyrev; V.H. Kazimirov
","Page 1: By positively evaluating in general the observance of the ceasefire from 12 May 1994 in accordance with the agreement created with Russian mediation in the period from 09 to 11 May of this year, and by responding to the call of the official representatives of the president of the Russian Federation and the Chair of the OSCE Minsk Conference dated 23 June of this year.

Page 1:...The fighting parties confirm the following:
- Their firm resolution to continue to fulfil their obligations under the ceasefire and in particular meaning, through the ceasefire, to preserve the conditions for signing a comprehensive political agreement and placement of international observers in the conflict zone.
- Their aim to intensify efforts to complete the comprehensive political agreement within 30 days of August 1994, in which the military-technical issues will be addressed including the cooperation of international security forces and an OSCE observation mission.

Page 1:...The opposing parties agree in the agreed terms to confirm the responsibilities they have taken upon themselves in relation to the ceasefire and to maintain the ceasefire regime until the signing of a comprehensive political agreement which provides for the total cessation of hostilities.
",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",990,"Ceasefire Agreement Signed in Bishkek",1994-05-11,"Multiparty signed/agreed",1,1836,Intra,Cea,Ceas,"Minister of Defense of Azerbaijan
M. Mamedov
 
Minister of Defense of Armenia 
S. Sargsyan

Nagorno Karabakh Army Commander
S. Babayan 
","P. S. Grachev
Minister of Defense of the Russian Federation 
A. V. Kozyrev
Minister of Foreign Affairs of the Russian Federation 
V. N. Kazimirov
","Page 1:...Responding to the call for a cease-fire, as set out in the Bishkek Protocol of May 5, 1994, and based on the Protocol of 18 February 1994, the conflicting Parties agreed on the following:

Page 1, 3: This agreement will be used to complete the negotiations in the next 10 days and conclude an Agreement on Cessation of the Armed Conflict no later than May 22 of this year. ",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1732,"Agreement on the Implementation of the 18 February 1994 Protocol",1994-04-28,"Unilateral document",1,1771,Intra,Cea,Ceas,"Minister of Foreign Affairs for the Republic of Nagorno-Karabakh: A Gukasyan

Commander in Chief of the Defence Army of the Republic of Nagorno-Karabakh: S. Babayan
","To Ministry of Defence of Russian Federation: P Grachov
To Ministry of Foreign Affairs Russian Federation:A Kozyrev and V Kazimirov
",,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1731,"Joint Communique Regarding the Results of the Negotiations between the Representatives of the Azerbaijan and Nagorno-Karabakh Leaderships",1993-09-13,"Multiparty signed/agreed",1,2445,Intra,Pre,PreMix,"A. Jalilov, Representative of the Leadership of Azerbaijan
A. Gukasyan, Representative of the Leadership of Nagorno-Karabakh","Russian Ministry of Foreign Affairs (as mediator) [No Name is provided in the text but external research identifies the representative as V. Kazimirov].",,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,"Azerbaijan-Nagorno Karabakh: Process","Europe and Eurasia",1730,"Agreement to Extend the Ceasefire for a Period of 3 Days",1993-09-10,"Unilateral document",1,839,Intra,Cea,Ceas,"To Nagorno-Karabakh

Deputy Chair of the High Council of Azerbaijan Republic: A Jalilov
Acting Minister of Defence of Azerbaijan: S Abiyev
 

","Copy to Minister of Foreign Affairs, Russian Federation","Page 1:...During this period negotiations in Moscow will be held by official representatives for the preparation of the meeting of the authorities of Azerbaijan and Nagorno-Karabakh, about which previous agreement was reached (If the negotiations in Moscow will take more time then the ceasefire will automatically be prolonged up to and including the day of the end of the negotiations).",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
